Source,Destination,Distance
Harris Hall,Lynch Station,245.4545455
Harris Hall,Batty House,345.4545455
Harris Hall,Harvey House,356.8181818
Harris Hall,Golledge Hall,577.2727273
Harris Hall,Snow Church,656.8181818
Harris Hall,Saucer Center,702.2727273
Harris Hall,Tobler Museum,511.3636364
Lynch Station,Batty House,190.9090909
Lynch Station,Harvey House,515.9090909
Lynch Station,Golledge Hall,795.4545455
Lynch Station,Snow Church,875
Lynch Station,Saucer Center,865.9090909
Lynch Station,Tobler Museum,738.6363636
Batty House,Harvey House,488.6363636
Batty House,Golledge Hall,768.1818182
Batty House,Snow Church,847.7272727
Batty House,Saucer Center,988.6363636
Batty House,Tobler Museum,725
Harvey House,Golledge Hall,706.8181818
Harvey House,Snow Church,786.3636364
Harvey House,Saucer Center,927.2727273
Harvey House,Tobler Museum,663.6363636
Golledge Hall,Snow Church,84.09090909
Golledge Hall,Saucer Center,220.4545455
Golledge Hall,Tobler Museum,188.6363636
Snow Church,Saucer Center,154.5454545
Snow Church,Tobler Museum,272.7272727
Saucer Center,Tobler Museum,263.6363636
